Sentence,start_time,end_time,wav_file,emotion,val,act,dom
Do you want my jacket?,97.9122,105.13,Ses01M_script02_1_M013,xxx,2.5,3.5,3
"It's after eleven, let's go home.",107.27,124.69,Ses01M_script02_1_M014,exc,3,4.5,3
What are you kidding?  We just got here.  We don't want to turn around and go home now.  What's the point coming all the way down here?,125.1356,128.46,Ses01M_script02_1_M015,xxx,3,3.5,3.5
There is no point.,134.91,138.43,Ses01M_script02_1_M016,exc,4,3.5,4
Right.,138.49,142.91,Ses01M_script02_1_M017,exc,4.5,4,3.5
That's my point.,155.54,158.35,Ses01M_script02_1_M018,xxx,4,3.5,3
That's my point too.,158.38,161.675,Ses01M_script02_1_M019,xxx,4,3.5,3
Then let's go.,163.6278,166.51,Ses01M_script02_1_M020,fru,2.5,3.5,4
"No, wait no, no that's not my point.  My point is there is no point and coming all the way down here if we just turn around and go home.",168.02,175.22,Ses01M_script02_1_M021,fru,2,3.5,3
Don't you want to see it?,176.49,178.1775,Ses01M_script02_1_M022,neu,3,3.5,3
Not particularly.,179.8,182.6525,Ses01M_script02_1_M023,neu,3,3.5,2.5
Why not?,183.82,191.96,Ses01M_script02_1_M024,fru,3,4,4
"I just don't, it's stupid.",192.12,194.0925,Ses01M_script02_1_M025,xxx,2.5,3,2
It's not stupid.  It's a natural phenomenon.,195.3,197.14,Ses01M_script02_1_M026,fru,2,2.5,2.5
People in Kansas would have to get plane tickets and make hotel reservations to see this.  It's only forty minutes away  it's just too good to pass up.,200.4,205.8,Ses01M_script02_1_M027,fru,2.5,3.5,3
"Pass what up?  These little fish swim out of the ocean, they flop around on the sand then they swim back and then they die.",205.8575,215.6599,Ses01M_script02_1_M028,ang,2.5,4,3.5
Yeah but that like flopping around is what to do it's like spawning or mating or something.  This is like the highlight of their little fish lives.  It's like life's last orgy.,223.594,238.3125,Ses01M_script02_1_M029,xxx,3,4,4
"I don't know what you're so excited about.  This isn't a moon landing we're talking about, it's fish, it's a fish nobody even eats.",247.92,249.52,Ses01M_script02_1_M030,neu,2.5,3.5,2.5
"Yeah, they do.",250.59,266.32,Ses01M_script02_1_M031,exc,3,3.5,3.5
"Oh, Augie.",266.4,274.4825,Ses01M_script02_1_M032,exc,2.5,3.5,4
"Well, okay whatever, okay but it's a fish who do something that like no other fish do, you know, it's like those swallows that return to Capistrano or those like those lemmings that jumped off the cliffs, you know.",275.5,277.3075,Ses01M_script02_1_M033,xxx,3,3,3
"It's like a little bit of the unexplainable, a little magic, a little mystery.  I just don't see how you can not be interested in this.",279.69,282.81,Ses01M_script02_1_M034,fru,3,2,2.5
I'm not.,289.53,296.9725,Ses01M_script02_1_M035,fru,2.5,4,2.5
For real?,297.08,305.09,Ses01M_script02_1_M036,fru,3,3.5,3.5
Yes.,317.78,320.0133,Ses01M_script02_1_M037,neu,3,3.5,3
All right.,321.24,325.91,Ses01M_script02_1_M038,xxx,2.5,3.5,3.5
"I don't get it though, I mean the first time we came here you said it was like the best night of your life...",326.882,338.75,Ses01M_script02_1_M039,neu,2.5,3.5,4
And last year I remember like distinctively you were so excited to get here that you didn't realize you stubbed your toe until we were in a car.,338.9269,347.0862,Ses01M_script02_1_M040,exc,3,2.5,3.5
"Last year, you'll also remember we got--our shoes got wet, I got sand in my panties, you got a sore throat, we got into a big fight and we did not see the grunions.",347.115,355.96,Ses01M_script02_1_M041,exc,3,3.5,4
We just weren't in a good spot though.,356.01,367.214,Ses01M_script02_1_M042,exc,3,4,4
We didn't see them the year before either.,367.32,375.7175,Ses01M_script02_1_M043,exc,3.5,3.5,4.5
We just weren't in a good spot I'm telling you this is a much better spot.,375.8875,383.54,Ses01M_script02_1_M044,exc,3,4,4
"Come on, trust me I got instincts for these things, okay?  So just--just think about it all right?  Okay, I know you're not interested, think about it...",383.78,391.47,Ses01M_script02_1_M045,exc,3.5,3.5,4
"Out there, there's like this big mass of silver fish they're heading this way...",393.63,401.8275,Ses01M_script02_1_M046,exc,4.5,4.5,4
"They don't know why, we don't know why.  No one like sent them an invitation or gave them a map or direction...",5.3913,8.235,Ses01M_script01_2_F000,ang,2.5,2.5,3
They just all turned at once and they just form this line as long as the California coast.  And they just started swimming...,12.74,17.28,Ses01M_script01_2_F001,ang,2.5,2,3
Like some little time release fire cracker went off inside their little tiny bodies.  And they all turned as one...,32.63,35.3425,Ses01M_script01_2_F002,xxx,2.5,2.5,3
"And form the line and started swimming, swimming that would bring them to this point here...",36.76,39.48,Ses01M_script01_2_F003,xxx,2.5,3,4
It's like urgency that's pure urge you know.  It's single-mindedness with no mind.,41.18,44.7,Ses01M_script01_2_F004,ang,1.5,4,4
"It's crazy.  Look at this, I'm giving myself goose bumps, the hairs are standing up on my arm.",47.62,56.06,Ses01M_script01_2_F005,ang,1.5,4.5,5
That's the wind.,64.42,72.36,Ses01M_script01_2_F006,xxx,1.5,3.5,4.5
Why did he invite her here?,74.01,86.77,Ses01M_script01_2_F007,xxx,2,3,4.5
"Well, maybe he wanted see her.",92.83,103,Ses01M_script01_2_F008,fru,1.5,3,4.5
It's been three and a half years.  Why all of a sudden?,104.705,118.32,Ses01M_script01_2_F009,ang,2,4.5,4.5
"Well uh, He grew up next door to the girl, why wouldn't he want to see her?",120.94,124.39,Ses01M_script01_2_F010,xxx,2,2.5,3.5
Don't look at me like that.  He didn't tell me anything he told you.,124.98,135.2991,Ses01M_script01_2_F011,ang,1.5,4.5,5
He's not going to marry her.,136.61,145.6,Ses01M_script01_2_F012,ang,1.5,3.5,4.5
How do you know he's even thinking about it?,145.64,150.29,Ses01M_script01_2_F013,ang,1,3.5,4.5
it's got that about it.,159.3,161.86,Ses01M_script01_2_F014,xxx,2,2,2.5
Oh so what?,8.4194,12.92,Ses01M_script01_2_M000,neu,3,4,2.5
"What is going on here, Joe?",18.19,25.36,Ses01M_script01_2_M001,neu,3,3.5,2.5
"Okay, now listen, kids...",26.55,32.19,Ses01M_script01_2_M002,fru,2.5,3.5,3.5
The girl is not Larry's.  If the girl is Larry's girl she's not his she know she's not.,34.71,37.21,Ses01M_script01_2_M003,fru,2.5,3,3.5
Listen. Line. You can't read her mind.,39.17,41.69,Ses01M_script01_2_M004,fru,2,2.5,3
Then why is she still single?  New York is full of men probably a hundred people told her she is crazy but she is waited.,44.67,48.37,Ses01M_script01_2_M005,fru,2.5,3,3.5
And how do you know why she's waited.,63.52,65.28,Ses01M_script01_2_M006,fru,2.5,3,3
Because she knows what I know that's why.  She's faithful as a rock. in my darkest moments I think of her waiting and I know that I'm right.,71.88,74.4,Ses01M_script01_2_M007,neu,3,2,2.5
"Okay, look it's a beautiful day.  Why are we arguing?",87.53,93.44,Ses01M_script01_2_M008,fru,2.5,2.5,3.5
"Nobody in this house dares take away her faith Joe.  Her- strangers might but not her father, not her brother.",102.61,106.86,Ses01M_script01_2_M009,fru,2,3.5,3.5
What do you want me to do?  What do you want?,119.21,121.2425,Ses01M_script01_2_M010,fru,2.5,2,2.5
"I want you to---act like he is coming back.  Don't think I haven't noticed you, both of you since Chris invited her here.  I won't stand for any nonsense.",124.2883,125.3375,Ses01M_script01_2_M011,fru,2,2.5,2.5
Kate...,134.69,137.07,Ses01M_script01_2_M012,fru,2,3,3
Because if he's not coming back then I'll kill myself.,138.57,142.3975,Ses01M_script01_2_M013,fru,2,3,3
[BREATHING],144.44,146.79,Ses01M_script01_2_M014,fru,2.5,3,2.5
"Oh, laugh at me, laugh all you like but why does this happen to very night she comes back?  She goes to sleep in his room and his memorial breaks in pieces.  Look at it, Joe look.",147.5375,152.12,Ses01M_script01_2_M015,ang,1.5,4,4
"All right, calm yourself.",152.66,157.89,Ses01M_script01_2_M016,ang,2,2.5,4
"Believe with me Joe, you got to believe. Only last week a boy came back missing longer then Larry you read it yourself.",163.38,167.43,Ses01M_script01_2_M017,ang,1.5,3,4.5
"Okay, calm yourself. Alright.",6.2901,8.2357,Ses01F_impro01_F000,neu,2.5,2.5,2.5
calm yourself.,10.01,11.3925,Ses01F_impro01_F001,neu,2.5,2.5,2.5
You above all have got to believe. Just don't stop believing.,14.8872,18.0175,Ses01F_impro01_F002,neu,2.5,2.5,2.5
What does that mean? Me above all? What does that mean?,19.29,20.7875,Ses01F_impro01_F003,xxx,2.5,3,3
Look at you. You're shaking.,21.3257,24.74,Ses01F_impro01_F004,xxx,2.5,3,2.5
I can't help it.,27.46,31.49,Ses01F_impro01_F005,neu,2.5,3.5,2
"What the hell do you want from me, Kate?",38.965,43.59,Ses01F_impro01_F006,fru,2,3.5,3.5
Excuse me.,46.58,52.19,Ses01F_impro01_F007,fru,2.5,3.5,3.5
Do you have your forms?,56.16,58.8225,Ses01F_impro01_F008,fru,2,3.5,3.5
Yeah.,61.87,65.97,Ses01F_impro01_F009,fru,2,3.5,3
Let me see them.,66.42,69.34,Ses01F_impro01_F010,xxx,1.5,3.5,3.5
Is there a problem?,72.45,82.26,Ses01F_impro01_F011,fru,2,3.5,3.5
Who told you to get in this line?,85.27,88.02,Ses01F_impro01_F012,ang,2,3.5,3.5
You did.,93.67,97.0218,Ses01F_impro01_F013,fru,2,4,3.5
You were standing at the beginning and you directed me.,97.89,102.96,Ses01F_impro01_F014,neu,2.5,3.5,3.5
Okay. But I didn't tell you to get in this line if you are filling out this particular form.,103.97,106.71,Ses01F_impro01_F015,fru,2,3.5,3
Well what's the problem?  Let me change it.,7.5712,10.475,Ses01F_impro01_M000,fru,2.5,2,2.5
This form is a Z.X.four.,10.9266,14.6649,Ses01F_impro01_M001,fru,2.5,2,2.5
"You can't--  This is not the line for Z.X.four.  If you're going to fill out the Z.X.four, you need to have a different form of ID.",16.8352,19.7175,Ses01F_impro01_M002,fru,2,3.5,3.5
What?  I'm getting an ID.  This is why I'm here.  My wallet was stolen.,23.47,28.03,Ses01F_impro01_M003,fru,2.5,3.5,3.5
No. I need another set of ID to prove this is actually you.,28.395,31.2117,Ses01F_impro01_M004,fru,2,4,3.5
How am I supposed to get an ID without an ID?  How does a person get an ID in the first place?,31.266,39.3875,Ses01F_impro01_M005,fru,2,3.5,3.5
I don't know.  But I need an ID to pass this form along.  I can't just send it along without an ID.,41.23,46.98,Ses01F_impro01_M006,fru,2,3.5,3.5
I'm here to get an ID.,51.4,57.64,Ses01F_impro01_M007,fru,2.5,3.5,3
"No.  I need another ID, a separate one.",58.18,62.59,Ses01F_impro01_M008,fru,2,3.5,3.5
Like what?  Like a birth certificate?,65.51,73,Ses01F_impro01_M009,fru,2.5,3.5,4
"A birth certificate, a passport...a student ID; didn't you go to school?  Anything?",81.59,86.03,Ses01F_impro01_M010,fru,2,4.5,4
Who the hell has a birth certificate?,87.15,94.39,Ses01F_impro01_M011,ang,2,4,4
"Yes but my wallet was stolen, I don't have anything.  I don't have any credit cards, I don't have my ID.  Don't you have things on file here?",95.86,98.68,Ses01F_impro01_M012,xxx,3,1.5,2
"Yeah.  We keep it on file, but we need an ID to access that file.",101.84,107.87,Ses01F_impro01_M013,ang,2,4.5,4.5
That's out of control.,2.2687,4.32,Ses01M_impro05_F000,neu,3,3,3
I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID.,7.23,9.88,Ses01M_impro05_F001,neu,3,2.5,3.5
How long have you been working here?,10.1725,13.7,Ses01M_impro05_F002,neu,3,2.5,3.5
Actually too long.,15.125,16.415,Ses01M_impro05_F003,neu,3,3.5,2.5
"Clearly.  You know, do you have like a supervisor or something?",17.97,22.03,Ses01M_impro05_F004,neu,3,3,3.5
Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.,22.2,25.06,Ses01M_impro05_F005,neu,2.5,2.5,3
That would - I would appreciate that.  Yeah.,25.1125,27.86,Ses01M_impro05_F006,neu,2.5,2.5,3
Can I help you?,30.5125,33.31,Ses01M_impro05_F007,neu,2.5,2,3
"Yes, please help me.  Where is my bag?",34.42,36.41,Ses01M_impro05_F008,fru,2,2.5,3.5
I need a little more information.,37.4,39.99,Ses01M_impro05_F009,xxx,2,3,4
"Where is my bag?  Come on, I've been here for four hours.",40.845,43.1575,Ses01M_impro05_F010,xxx,2,3,3.5
What- What flight did you come in on?,45.67,49.92,Ses01M_impro05_F011,neu,3.5,3,3.5
"Okay, I'm coming in from Atlanta.",49.92,52.31,Ses01M_impro05_F012,neu,3,3.5,3.5
Georgia?,53.7075,56.24,Ses01M_impro05_F013,neu,3,2.5,3.5
"Yes, Georgia.  Good for you I need my bag.  Can you...",58.5,60.23,Ses01M_impro05_F014,neu,3,2.5,3
"There's no need for you to raise your voice, sir.",61.48,67.48,Ses01M_impro05_F015,neu,2.5,3.5,4
I've been college educated.,67.51,73.25,Ses01M_impro05_F016,neu,2.5,3,4
I speak your language.,91.41,100.24,Ses01M_impro05_F017,neu,2.5,3,3
Are you insinuating that I don't have a college education and that- for some reason that makes you a better person than I am?,100.24,102.86,Ses01M_impro05_F018,neu,3,3,3.5
"Listen, shut your smug mouth, okay?  I don't need that.",102.92,106.17,Ses01M_impro05_F019,neu,2,4,4
I'm just saying you don't need to talk to me like I-,107.93,114.19,Ses01M_impro05_F020,neu,3.5,3.5,4
I've been sitting here for four hours.,114.19,115.47,Ses01M_impro05_F021,neu,3,2.5,3
