,start_time,end_time,wav_file,emotion,val,act,dom
62,174.7833,177.72,Ses01F_script01_1_M017,neu,3.0,2.6667,2.6667
63,179.28,181.9475,Ses01F_script01_1_M018,fru,3.0,3.3333,3.6667
64,185.03,195.28,Ses01F_script01_1_M019,ang,2.0,4.3333,4.0
65,197.6,199.7475,Ses01F_script01_1_M020,fru,2.6667,4.0,3.6667
66,224.7,236.05,Ses01F_script01_1_M021,fru,2.0,3.0,2.3333
67,237.8,240.429,Ses01F_script01_1_M022,fru,2.0,3.3333,3.3333
68,245.2786,247.57,Ses01F_script01_1_M023,neu,3.0,2.0,2.3333
69,251.2965,261.05,Ses01F_script01_1_M024,neu,2.6667,1.6667,2.0
70,262.65,267.2119,Ses01F_script01_1_M025,neu,2.6667,2.0,3.0
71,269.73,274.6626,Ses01F_script01_1_M026,fru,2.0,3.3333,3.0
72,276.24,278.3659,Ses01F_script01_1_M027,fru,3.0,2.6667,2.6667
73,281.57,283.89,Ses01F_script01_1_M028,fru,2.0,3.0,1.6667
74,285.96,296.03,Ses01F_script01_1_M029,fru,2.6667,3.0,3.3333
75,297.0,300.07,Ses01F_script01_1_M030,fru,1.6667,4.3333,4.6667
76,318.2868,321.98,Ses01F_script01_1_M031,fru,2.0,2.0,1.3333
77,325.73,336.5389,Ses01F_script01_1_M032,fru,2.6667,3.6667,3.3333
78,336.7373,342.3143,Ses01F_script01_1_M033,fru,2.0,2.0,3.0
79,344.4966,350.15,Ses01F_script01_1_M034,neu,3.0,2.6667,3.3333
80,352.1016,356.88,Ses01F_script01_1_M035,fru,2.3333,2.3333,2.3333
81,359.03,362.82,Ses01F_script01_1_M036,fru,3.0,3.3333,3.0
82,363.87,373.5675,Ses01F_script01_1_M037,fru,3.0,4.0,4.0
83,373.5975,383.15,Ses01F_script01_1_M038,fru,2.6667,3.6667,3.6667
84,387.5,390.11,Ses01F_script01_1_M039,neu,3.0,1.6667,2.0
85,392.31,395.69,Ses01F_script01_1_M040,neu,3.0,1.6667,2.0
86,403.43,407.04,Ses01F_script01_1_M041,fru,2.6667,2.6667,2.3333
87,408.96,412.8536,Ses01F_script01_1_M042,fru,3.0,2.6667,3.6667
88,415.92,420.4807,Ses01F_script01_1_M043,fru,3.0,2.3333,3.3333
89,18.9629,20.82,Ses01M_script02_1_F000,xxx,3.0,3.0,3.0
90,30.32,32.05,Ses01M_script02_1_F001,fru,1.5,3.5,3.5
91,58.04,60.01,Ses01M_script02_1_F002,sur,2.0,2.5,3.5
92,63.13,65.78,Ses01M_script02_1_F003,xxx,2.0,3.0,4.0
93,67.02,69.82,Ses01M_script02_1_F004,xxx,2.0,3.5,4.0
94,70.69,75.38,Ses01M_script02_1_F005,ang,1.5,4.0,4.0
95,96.27,98.1135,Ses01M_script02_1_F006,xxx,3.0,2.0,2.5
96,101.33,102.61,Ses01M_script02_1_F007,neu,3.0,2.0,2.5
97,128.555,130.3,Ses01M_script02_1_F008,neu,3.0,2.0,2.5
98,153.51,155.79,Ses01M_script02_1_F009,hap,3.5,3.0,2.5
99,161.6249,163.5475,Ses01M_script02_1_F010,fru,2.5,2.5,3.0
100,165.8,168.635,Ses01M_script02_1_F011,fru,2.5,3.0,3.5
101,174.7,176.8514,Ses01M_script02_1_F012,fru,2.0,3.0,3.5
102,177.96,180.15,Ses01M_script02_1_F013,fru,2.0,3.5,4.0
103,182.11,184.41,Ses01M_script02_1_F014,ang,1.5,4.0,3.0
104,193.62,195.95,Ses01M_script02_1_F015,xxx,2.5,2.5,3.0
105,196.48,199.89,Ses01M_script02_1_F016,xxx,2.0,2.5,3.5
106,215.1712,224.18,Ses01M_script02_1_F017,ang,2.0,4.0,4.0
107,237.74,248.4,Ses01M_script02_1_F018,fru,2.0,3.0,4.0
108,248.99,251.1912,Ses01M_script02_1_F019,fru,2.0,3.5,3.5
109,273.98,276.1435,Ses01M_script02_1_F020,fru,2.0,2.5,2.5
110,276.94,278.44,Ses01M_script02_1_F021,ang,2.0,3.5,4.5
111,304.42,318.4303,Ses01M_script02_1_F022,ang,1.5,3.5,4.0
112,319.61,321.82,Ses01M_script02_1_F023,ang,2.0,2.5,3.5
113,402.01,405.04,Ses01M_script02_1_F024,xxx,3.0,1.5,2.5
114,3.3988,8.55,Ses01M_script02_1_M000,exc,4.0,4.0,3.5
115,9.0475,21.05,Ses01M_script02_1_M001,exc,4.5,4.5,4.0
116,21.1025,26.03,Ses01M_script02_1_M002,exc,4.5,5.0,4.5
117,26.9072,30.67,Ses01M_script02_1_M003,xxx,2.0,3.5,3.0
118,31.79,41.7119,Ses01M_script02_1_M004,exc,3.0,4.0,3.5
119,41.8225,52.565,Ses01M_script02_1_M005,exc,4.0,4.0,3.5
120,52.6225,58.5575,Ses01M_script02_1_M006,xxx,3.0,3.0,3.5
121,59.45,63.6475,Ses01M_script02_1_M007,neu,2.5,3.0,3.0
122,65.72,67.57,Ses01M_script02_1_M008,xxx,3.0,3.5,2.5
123,69.41,71.28,Ses01M_script02_1_M009,neu,3.0,3.0,2.5
124,74.89,81.73,Ses01M_script02_1_M010,neu,3.0,3.5,3.0
125,82.2739,87.475,Ses01M_script02_1_M011,neu,2.5,3.5,3.0
126,88.32,96.82,Ses01M_script02_1_M012,xxx,3.0,3.5,3.0
127,97.9122,105.13,Ses01M_script02_1_M013,xxx,2.5,3.5,3.0
128,107.27,124.69,Ses01M_script02_1_M014,exc,3.0,4.5,3.0
129,125.1356,128.46,Ses01M_script02_1_M015,xxx,3.0,3.5,3.5
130,134.91,138.43,Ses01M_script02_1_M016,exc,4.0,3.5,4.0
131,138.49,142.91,Ses01M_script02_1_M017,exc,4.5,4.0,3.5
132,155.54,158.35,Ses01M_script02_1_M018,xxx,4.0,3.5,3.0
133,158.38,161.675,Ses01M_script02_1_M019,xxx,4.0,3.5,3.0
134,163.6278,166.51,Ses01M_script02_1_M020,fru,2.5,3.5,4.0
135,168.02,175.22,Ses01M_script02_1_M021,fru,2.0,3.5,3.0
136,176.49,178.1775,Ses01M_script02_1_M022,neu,3.0,3.5,3.0
137,179.8,182.6525,Ses01M_script02_1_M023,neu,3.0,3.5,2.5
138,183.82,191.96,Ses01M_script02_1_M024,fru,3.0,4.0,4.0
139,192.12,194.0925,Ses01M_script02_1_M025,xxx,2.5,3.0,2.0
140,195.3,197.14,Ses01M_script02_1_M026,fru,2.0,2.5,2.5
141,200.4,205.8,Ses01M_script02_1_M027,fru,2.5,3.5,3.0
142,205.8575,215.6599,Ses01M_script02_1_M028,ang,2.5,4.0,3.5
143,223.594,238.3125,Ses01M_script02_1_M029,xxx,3.0,4.0,4.0
144,247.92,249.52,Ses01M_script02_1_M030,neu,2.5,3.5,2.5
145,250.59,266.32,Ses01M_script02_1_M031,exc,3.0,3.5,3.5
146,266.4,274.4825,Ses01M_script02_1_M032,exc,2.5,3.5,4.0
147,275.5,277.3075,Ses01M_script02_1_M033,xxx,3.0,3.0,3.0
148,279.69,282.81,Ses01M_script02_1_M034,fru,3.0,2.0,2.5
149,289.53,296.9725,Ses01M_script02_1_M035,fru,2.5,4.0,2.5
150,297.08,305.09,Ses01M_script02_1_M036,fru,3.0,3.5,3.5
151,317.78,320.0133,Ses01M_script02_1_M037,neu,3.0,3.5,3.0
152,321.24,325.91,Ses01M_script02_1_M038,xxx,2.5,3.5,3.5
153,326.882,338.75,Ses01M_script02_1_M039,neu,2.5,3.5,4.0
154,338.9269,347.0862,Ses01M_script02_1_M040,exc,3.0,2.5,3.5
155,347.115,355.96,Ses01M_script02_1_M041,exc,3.0,3.5,4.0
156,356.01,367.214,Ses01M_script02_1_M042,exc,3.0,4.0,4.0
157,367.32,375.7175,Ses01M_script02_1_M043,exc,3.5,3.5,4.5
158,375.8875,383.54,Ses01M_script02_1_M044,exc,3.0,4.0,4.0
159,383.78,391.47,Ses01M_script02_1_M045,exc,3.5,3.5,4.0
160,393.63,401.8275,Ses01M_script02_1_M046,exc,4.5,4.5,4.0
161,5.3913,8.235,Ses01M_script01_2_F000,ang,2.5,2.5,3.0
162,12.74,17.28,Ses01M_script01_2_F001,ang,2.5,2.0,3.0
163,32.63,35.3425,Ses01M_script01_2_F002,xxx,2.5,2.5,3.0
164,36.76,39.48,Ses01M_script01_2_F003,xxx,2.5,3.0,4.0
165,41.18,44.7,Ses01M_script01_2_F004,ang,1.5,4.0,4.0
166,47.62,56.06,Ses01M_script01_2_F005,ang,1.5,4.5,5.0
167,64.42,72.36,Ses01M_script01_2_F006,xxx,1.5,3.5,4.5
168,74.01,86.77,Ses01M_script01_2_F007,xxx,2.0,3.0,4.5
169,92.83,103.0,Ses01M_script01_2_F008,fru,1.5,3.0,4.5
170,104.705,118.32,Ses01M_script01_2_F009,ang,2.0,4.5,4.5
171,120.94,124.39,Ses01M_script01_2_F010,xxx,2.0,2.5,3.5
172,124.98,135.2991,Ses01M_script01_2_F011,ang,1.5,4.5,5.0
173,136.61,145.6,Ses01M_script01_2_F012,ang,1.5,3.5,4.5
174,145.64,150.29,Ses01M_script01_2_F013,ang,1.0,3.5,4.5
175,159.3,161.86,Ses01M_script01_2_F014,xxx,2.0,2.0,2.5
176,8.4194,12.92,Ses01M_script01_2_M000,neu,3.0,4.0,2.5
177,18.19,25.36,Ses01M_script01_2_M001,neu,3.0,3.5,2.5
178,26.55,32.19,Ses01M_script01_2_M002,fru,2.5,3.5,3.5
179,34.71,37.21,Ses01M_script01_2_M003,fru,2.5,3.0,3.5
180,39.17,41.69,Ses01M_script01_2_M004,fru,2.0,2.5,3.0
181,44.67,48.37,Ses01M_script01_2_M005,fru,2.5,3.0,3.5
182,63.52,65.28,Ses01M_script01_2_M006,fru,2.5,3.0,3.0
183,71.88,74.4,Ses01M_script01_2_M007,neu,3.0,2.0,2.5
184,87.53,93.44,Ses01M_script01_2_M008,fru,2.5,2.5,3.5
185,102.61,106.86,Ses01M_script01_2_M009,fru,2.0,3.5,3.5
186,119.21,121.2425,Ses01M_script01_2_M010,fru,2.5,2.0,2.5
187,124.2883,125.3375,Ses01M_script01_2_M011,fru,2.0,2.5,2.5
188,134.69,137.07,Ses01M_script01_2_M012,fru,2.0,3.0,3.0
189,138.57,142.3975,Ses01M_script01_2_M013,fru,2.0,3.0,3.0
190,144.44,146.79,Ses01M_script01_2_M014,fru,2.5,3.0,2.5
191,147.5375,152.12,Ses01M_script01_2_M015,ang,1.5,4.0,4.0
192,152.66,157.89,Ses01M_script01_2_M016,ang,2.0,2.5,4.0
193,163.38,167.43,Ses01M_script01_2_M017,ang,1.5,3.0,4.5
194,6.2901,8.2357,Ses01F_impro01_F000,neu,2.5,2.5,2.5
195,10.01,11.3925,Ses01F_impro01_F001,neu,2.5,2.5,2.5
196,14.8872,18.0175,Ses01F_impro01_F002,neu,2.5,2.5,2.5
197,19.29,20.7875,Ses01F_impro01_F003,xxx,2.5,3.0,3.0
198,21.3257,24.74,Ses01F_impro01_F004,xxx,2.5,3.0,2.5
199,27.46,31.49,Ses01F_impro01_F005,neu,2.5,3.5,2.0
200,38.965,43.59,Ses01F_impro01_F006,fru,2.0,3.5,3.5
201,46.58,52.19,Ses01F_impro01_F007,fru,2.5,3.5,3.5
202,56.16,58.8225,Ses01F_impro01_F008,fru,2.0,3.5,3.5
203,61.87,65.97,Ses01F_impro01_F009,fru,2.0,3.5,3.0
204,66.42,69.34,Ses01F_impro01_F010,xxx,1.5,3.5,3.5
205,72.45,82.26,Ses01F_impro01_F011,fru,2.0,3.5,3.5
206,85.27,88.02,Ses01F_impro01_F012,ang,2.0,3.5,3.5
207,93.67,97.0218,Ses01F_impro01_F013,fru,2.0,4.0,3.5
208,97.89,102.96,Ses01F_impro01_F014,neu,2.5,3.5,3.5
209,103.97,106.71,Ses01F_impro01_F015,fru,2.0,3.5,3.0
210,7.5712,10.475,Ses01F_impro01_M000,fru,2.5,2.0,2.5
211,10.9266,14.6649,Ses01F_impro01_M001,fru,2.5,2.0,2.5
212,16.8352,19.7175,Ses01F_impro01_M002,fru,2.0,3.5,3.5
213,23.47,28.03,Ses01F_impro01_M003,fru,2.5,3.5,3.5
214,28.395,31.2117,Ses01F_impro01_M004,fru,2.0,4.0,3.5
215,31.266,39.3875,Ses01F_impro01_M005,fru,2.0,3.5,3.5
216,41.23,46.98,Ses01F_impro01_M006,fru,2.0,3.5,3.5
217,51.4,57.64,Ses01F_impro01_M007,fru,2.5,3.5,3.0
218,58.18,62.59,Ses01F_impro01_M008,fru,2.0,3.5,3.5
219,65.51,73.0,Ses01F_impro01_M009,fru,2.5,3.5,4.0
220,81.59,86.03,Ses01F_impro01_M010,fru,2.0,4.5,4.0
221,87.15,94.39,Ses01F_impro01_M011,ang,2.0,4.0,4.0
222,95.86,98.68,Ses01F_impro01_M012,xxx,3.0,1.5,2.0
223,101.84,107.87,Ses01F_impro01_M013,ang,2.0,4.5,4.5
224,2.2687,4.32,Ses01M_impro05_F000,neu,3.0,3.0,3.0
225,7.23,9.88,Ses01M_impro05_F001,neu,3.0,2.5,3.5
226,10.1725,13.7,Ses01M_impro05_F002,neu,3.0,2.5,3.5
227,15.125,16.415,Ses01M_impro05_F003,neu,3.0,3.5,2.5
228,17.97,22.03,Ses01M_impro05_F004,neu,3.0,3.0,3.5
229,22.2,25.06,Ses01M_impro05_F005,neu,2.5,2.5,3.0
230,25.1125,27.86,Ses01M_impro05_F006,neu,2.5,2.5,3.0
231,30.5125,33.31,Ses01M_impro05_F007,neu,2.5,2.0,3.0
232,34.42,36.41,Ses01M_impro05_F008,fru,2.0,2.5,3.5
233,37.4,39.99,Ses01M_impro05_F009,xxx,2.0,3.0,4.0
234,40.845,43.1575,Ses01M_impro05_F010,xxx,2.0,3.0,3.5
235,45.67,49.92,Ses01M_impro05_F011,neu,3.5,3.0,3.5
236,49.92,52.31,Ses01M_impro05_F012,neu,3.0,3.5,3.5
237,53.7075,56.24,Ses01M_impro05_F013,neu,3.0,2.5,3.5
238,58.5,60.23,Ses01M_impro05_F014,neu,3.0,2.5,3.0
239,61.48,67.48,Ses01M_impro05_F015,neu,2.5,3.5,4.0
240,67.51,73.25,Ses01M_impro05_F016,neu,2.5,3.0,4.0
241,91.41,100.24,Ses01M_impro05_F017,neu,2.5,3.0,3.0
242,100.24,102.86,Ses01M_impro05_F018,neu,3.0,3.0,3.5
243,102.92,106.17,Ses01M_impro05_F019,neu,2.0,4.0,4.0
244,107.93,114.19,Ses01M_impro05_F020,neu,3.5,3.5,4.0
245,114.19,115.47,Ses01M_impro05_F021,neu,3.0,2.5,3.0
246,117.22,118.7,Ses01M_impro05_F022,neu,3.0,2.5,3.0
247,119.6225,121.23,Ses01M_impro05_F023,neu,3.0,2.5,3.0
248,125.2,127.13,Ses01M_impro05_F024,neu,3.0,3.0,3.5
249,129.24,133.83,Ses01M_impro05_F025,neu,3.0,3.0,3.0
250,133.83,136.87,Ses01M_impro05_F026,neu,3.0,2.0,3.0
251,142.65,144.12,Ses01M_impro05_F027,neu,3.0,2.5,2.5
252,148.72,150.76,Ses01M_impro05_F028,neu,2.5,2.0,3.0
253,155.57,157.29,Ses01M_impro05_F029,neu,2.5,2.5,2.5
254,158.87,160.93,Ses01M_impro05_F030,neu,2.5,2.5,3.5
255,161.34,162.59,Ses01M_impro05_F031,neu,2.5,3.0,2.5
256,163.69,166.1,Ses01M_impro05_F032,neu,2.0,2.5,3.5
257,166.37,167.6,Ses01M_impro05_F033,neu,3.0,2.5,3.0
258,173.09,178.46,Ses01M_impro05_F034,neu,2.0,3.5,3.5
259,186.33,190.02,Ses01M_impro05_F035,fru,2.5,2.5,3.5
260,192.91,194.75,Ses01M_impro05_F036,xxx,3.0,2.5,3.5
261,194.9425,201.75,Ses01M_impro05_F037,xxx,2.5,2.5,3.0
262,3.71,7.82,Ses01M_impro05_M000,fru,1.5,3.5,4.5
263,8.06,12.34,Ses01M_impro05_M001,fru,1.5,4.0,4.5
264,12.53,15.6575,Ses01M_impro05_M002,fru,1.0,4.0,4.5
265,15.86,21.15,Ses01M_impro05_M003,xxx,1.0,4.0,5.0
266,26.1923,31.08,Ses01M_impro05_M004,ang,1.5,4.0,4.5
267,31.78,34.83,Ses01M_impro05_M005,ang,1.0,4.5,5.0
268,34.85,37.67,Ses01M_impro05_M006,ang,1.0,4.5,5.0
269,37.715,41.47,Ses01M_impro05_M007,ang,1.0,4.5,4.5
270,42.835,46.02,Ses01M_impro05_M008,ang,1.0,4.0,5.0
271,51.75,54.53,Ses01M_impro05_M009,fru,1.5,3.0,4.0
272,54.56,58.79,Ses01M_impro05_M010,fru,1.5,4.0,4.5
273,58.82,63.4075,Ses01M_impro05_M011,xxx,1.5,4.5,5.0
274,63.8375,66.22,Ses01M_impro05_M012,xxx,1.0,4.5,5.0
275,72.76,84.05,Ses01M_impro05_M013,xxx,1.0,5.0,5.0
276,84.29,91.75,Ses01M_impro05_M014,xxx,1.5,4.0,4.5
277,105.39,107.46,Ses01M_impro05_M015,neu,2.5,2.0,3.0
278,113.68,117.49,Ses01M_impro05_M016,xxx,2.0,3.5,4.5
279,118.24,120.07,Ses01M_impro05_M017,xxx,1.5,4.0,3.5
280,121.43,125.61,Ses01M_impro05_M018,fru,2.0,3.5,3.5
281,125.71,129.6,Ses01M_impro05_M019,xxx,1.5,3.5,4.5
282,134.9988,137.5,Ses01M_impro05_M020,ang,2.0,3.0,3.5
283,137.5,143.35,Ses01M_impro05_M021,ang,1.5,4.0,4.5
284,143.52,149.35,Ses01M_impro05_M022,ang,1.5,4.0,4.5
285,149.88,156.39,Ses01M_impro05_M023,ang,1.0,3.5,5.0
286,156.46,159.96,Ses01M_impro05_M024,ang,1.5,4.0,4.5
287,160.02,167.01,Ses01M_impro05_M025,ang,2.0,4.5,4.0
288,167.01,173.73,Ses01M_impro05_M026,ang,1.5,5.0,4.5
289,175.2775,181.46,Ses01M_impro05_M027,ang,1.5,4.0,4.0
290,181.495,186.82,Ses01M_impro05_M028,ang,1.5,4.5,4.5
291,189.42,198.34,Ses01M_impro05_M029,xxx,1.5,4.0,4.5
292,199.27,200.3975,Ses01M_impro05_M030,fru,1.5,2.5,3.0
293,201.2825,203.71,Ses01M_impro05_M031,ang,1.0,5.0,4.5
294,4.8285,8.9243,Ses01F_script01_3_F000,neu,4.0,1.6667,2.3333
295,12.3484,17.0473,Ses01F_script01_3_F001,neu,4.3333,2.0,2.3333
296,17.1566,26.1173,Ses01F_script01_3_F002,neu,3.3333,2.0,2.3333
297,28.31,36.1344,Ses01F_script01_3_F003,neu,3.0,1.3333,2.3333
298,38.32,41.6,Ses01F_script01_3_F004,neu,3.3333,2.6667,2.6667
299,42.82,47.33,Ses01F_script01_3_F005,neu,3.3333,2.0,1.6667
300,49.1,53.9831,Ses01F_script01_3_F006,neu,3.0,2.3333,2.3333
301,63.01,65.8944,Ses01F_script01_3_F007,neu,2.6667,1.3333,2.3333
302,69.64,75.91,Ses01F_script01_3_F008,neu,3.6667,2.6667,3.0
303,87.61,94.67,Ses01F_script01_3_F009,neu,4.0,3.0,2.0
304,97.02,98.4227,Ses01F_script01_3_F010,hap,4.6667,3.6667,2.3333
305,98.9525,101.725,Ses01F_script01_3_F011,hap,4.6667,4.0,2.6667
306,108.9225,114.07,Ses01F_script01_3_F012,hap,5.0,4.3333,2.3333
307,117.0,118.8,Ses01F_script01_3_F013,hap,4.3333,3.3333,2.3333
308,137.289,142.2065,Ses01F_script01_3_F014,neu,3.0,2.6667,3.0
309,146.98,150.5845,Ses01F_script01_3_F015,neu,3.0,2.0,2.3333
310,153.3875,156.3762,Ses01F_script01_3_F016,neu,2.6667,1.6667,1.6667
311,159.06,161.23,Ses01F_script01_3_F017,hap,4.3333,3.0,2.6667
312,162.8,169.66,Ses01F_script01_3_F018,xxx,4.3333,4.3333,4.3333
313,169.69,172.46,Ses01F_script01_3_F019,hap,4.3333,4.0,3.3333
314,186.209,193.68,Ses01F_script01_3_F020,hap,4.3333,3.6667,3.6667
315,196.14,198.895,Ses01F_script01_3_F021,hap,4.0,2.3333,3.0
316,200.92,206.29,Ses01F_script01_3_F022,neu,3.3333,1.6667,3.0
317,212.5813,215.67,Ses01F_script01_3_F023,xxx,2.0,2.3333,2.3333
318,218.54,222.9675,Ses01F_script01_3_F024,xxx,2.0,2.3333,3.0
319,225.04,232.9798,Ses01F_script01_3_F025,xxx,2.3333,1.6667,2.6667
320,240.62,243.65,Ses01F_script01_3_F026,xxx,2.6667,1.6667,2.6667
321,247.48,250.62,Ses01F_script01_3_F027,xxx,2.3333,2.3333,2.3333
322,259.13,261.66,Ses01F_script01_3_F028,neu,2.6667,2.3333,1.6667
323,266.31,268.5425,Ses01F_script01_3_F029,neu,2.3333,2.0,2.0
324,270.66,273.26,Ses01F_script01_3_F030,sad,1.6667,2.3333,1.3333
325,344.18,345.74,Ses01F_script01_3_F031,neu,2.0,1.0,1.3333
326,415.8011,419.8444,Ses01F_script01_3_F032,xxx,2.3333,1.3333,1.6667
327,422.467,432.4477,Ses01F_script01_3_F033,xxx,2.0,2.3333,3.6667
328,432.557,450.47,Ses01F_script01_3_F034,xxx,2.6667,2.6667,4.0
329,459.57,463.06,Ses01F_script01_3_F035,hap,4.0,2.0,2.3333
330,8.59,13.17,Ses01F_script01_3_M000,neu,4.0,1.6667,2.0
331,26.0445,28.8493,Ses01F_script01_3_M001,neu,3.0,2.0,2.3333
332,36.1709,38.5386,Ses01F_script01_3_M002,xxx,2.6667,1.6667,2.0
333,41.0,43.32,Ses01F_script01_3_M003,neu,4.0,2.6667,1.6667
334,47.21,49.51,Ses01F_script01_3_M004,neu,3.0,3.0,2.6667
335,54.62,63.9,Ses01F_script01_3_M005,neu,4.0,2.6667,2.3333
336,67.6792,69.8648,Ses01F_script01_3_M006,xxx,3.3333,1.6667,1.6667
337,78.08,87.25,Ses01F_script01_3_M007,xxx,3.0,3.0,2.0
338,98.07,105.58,Ses01F_script01_3_M008,hap,4.6667,3.6667,2.6667
339,106.5092,114.9575,Ses01F_script01_3_M009,hap,4.6667,4.0,2.3333
340,115.2878,126.545,Ses01F_script01_3_M010,hap,4.3333,4.0,2.6667
341,126.68,137.2162,Ses01F_script01_3_M011,xxx,3.0,3.3333,3.0
342,142.91,147.379,Ses01F_script01_3_M012,xxx,2.6667,2.6667,3.0
343,151.03,153.5714,Ses01F_script01_3_M013,xxx,2.0,2.3333,2.0
344,156.3033,159.54,Ses01F_script01_3_M014,sur,4.3333,3.3333,2.3333
345,160.7,163.66,Ses01F_script01_3_M015,hap,4.0,4.0,3.3333
